,Pos,2013,Title,Director,Year,Country,Mins
406,407,392,"Young Girls of Rochefort, The","Demy, Jacques",1967,France,124
407,408,389,Walkabout,"Roeg, Nicolas",1971,Australia,95
408,409,396,"Devil, Probably, The","Bresson, Robert",1977,France,95
409,410,407,"Taste of Cherry, A","Kiarostami, Abbas",1997,Iran,99
410,411,390,Stromboli,"Rossellini, Roberto",1949,Italy,107
411,412,405,Safe,"Haynes, Todd",1995,USA,119
412,413,388,"Lady from Shanghai, The","Welles, Orson",1948,USA,87
413,414,395,"Wind Will Carry Us, The","Kiarostami, Abbas",1999,France,118
414,415,409,To Have and Have Not,"Hawks, Howard",1944,USA,100
415,416,498,High Noon,"Zinnemann, Fred",1952,USA,84
416,417,381,Top Hat,"Sandrich, Mark",1935,USA,99
417,418,406,Blissfully Yours,"Weerasethakul, Apichatpong",2002,Thailand,125
418,419,488,"Long Goodbye, The","Altman, Robert",1973,USA,112
419,420,399,"Terminator, The","Cameron, James",1984,USA,108
420,421,410,"Flowers of St. Francis, The","Rossellini, Roberto",1950,Italy,83
421,422,427,French Cancan,"Renoir, Jean",1955,France,93
422,423,433,Fitzcarraldo,"Herzog, Werner",1982,West Germany,157
423,424,423,"Thing, The","Carpenter, John",1982,USA,108
424,425,408,"Scarlet Empress, The","von Sternberg, Josef",1934,USA,110
425,426,445,Aliens,"Cameron, James",1986,USA,137
426,427,431,"Tree of Wooden Clogs, The","Olmi, Ermanno",1978,Italy,185
427,428,397,"Rise to Power of Louis XIV, The","Rossellini, Roberto",1966,France,100
428,429,411,"Steamboat Bill, Jr.",Keaton & Reisner,1928,USA,71
429,430,419,"Moment of Innocence, A","Makhmalbaf, Mohsen",1996,Iran,78
430,431,428,"Wind, The","Sjostrom, Victor",1928,USA,88
431,432,469,Triumph of the Will,"Riefenstahl, Leni",1935,Germany,110
432,433,457,Doctor Zhivago,"Lean, David",1965,USA,197
433,434,437,Kagemusha,"Kurosawa, Akira",1980,Japan,159
434,435,447,Monty Python's Life of Brian,"Jones, Terry",1979,UK,93
435,436,430,Woman in the Dunes,"Teshigahara, Hiroshi",1964,Japan,127
436,437,401,Eyes Wide Shut,"Kubrick, Stanley",1999,USA,159
437,438,454,"Servant, The","Losey, Joseph",1963,UK,115
438,439,444,"House is Black, The","Farrokhzad, Forugh",1963,Iran,20
439,440,443,Toy Story,"Lasseter, John",1995,USA,80
440,441,418,Amadeus,"Forman, Milos",1984,USA,158
441,442,425,"Region centrale, La","Snow, Michael",1971,Canada,180
442,443,567,"Crouching Tiger, Hidden Dragon","Lee, Ang",2000,Taiwan,120
443,444,446,Flowers of Shanghai,Hou Hsiao-hsien,1998,Taiwan,130
444,445,402,Two-Lane Blacktop,"Hellman, Monte",1971,USA,101
445,446,440,Tootsie,"Pollack, Sydney",1982,USA,116
446,447,424,Great Expectations,"Lean, David",1946,UK,118
447,448,429,Lola,"Demy, Jacques",1961,France,90
448,449,464,Day for Night,"Truffaut, Francois",1973,France,120
449,450,451,Providence,"Resnais, Alain",1977,France,110
450,451,434,Barton Fink,Coen Brothers,1991,USA,117
451,452,456,"Sorrow and the Pity, The","Ophuls, Marcel",1969,France,260
452,453,458,Down by Law,"Jarmusch, Jim",1986,USA,107
453,454,439,Man of Aran,"Flaherty, Robert",1934,UK,77
454,455,452,"Dr. Mabuse, The Gambler","Lang, Fritz",1922,Germany,270
455,456,421,"Big Heat, The","Lang, Fritz",1953,USA,90
456,457,506,Deliverance,"Boorman, John",1972,USA,109
457,458,442,Don't Look Back,"Pennebaker, D.A.",1967,USA,96
458,459,474,Repulsion,"Polanski, Roman",1965,UK,105
459,460,468,Naked,"Leigh, Mike",1993,UK,126
460,461,432,Senso,"Visconti, Luchino",1954,Italy,115
461,462,436,Nouvelle vague,"Godard, Jean-Luc",1990,France,88
462,463,438,Boudu Saved from Drowning,"Renoir, Jean",1932,France,87
463,464,576,"Red Circle, The","Melville, Jean-Pierre",1970,France,150
464,465,441,Fellini Satyricon,"Fellini, Federico",1969,Italy,129
465,466,505,"Dead, The","Huston, John",1987,USA,83
466,467,463,Tristana,"Bunuel, Luis",1970,France,98
467,468,479,Shane,"Stevens, George",1953,USA,118
468,469,448,Wagon Master,"Ford, John",1950,USA,86
469,470,502,Trainspotting,"Boyle, Danny",1995,UK,95
470,471,500,"Terra trema, La","Visconti, Luchino",1948,Italy,160
471,472,491,Rosetta,Dardenne Brothers,1999,Belgium,94
472,473,450,"Blue Angel, The","von Sternberg, Josef",1930,Germany,103
473,474,494,Short Cuts,"Altman, Robert",1993,USA,189
474,475,518,Pinocchio,Sharpsteen & Luske,1940,USA,88
475,476,449,Miracle in Milan,"De Sica, Vittorio",1951,Italy,95
476,477,471,Frankenstein,"Whale, James",1931,USA,70
477,478,462,"Devils, The","Russell, Ken",1971,UK,109
478,479,481,Halloween,"Carpenter, John",1978,USA,93
479,480,478,India Song,"Duras, Marguerite",1974,France,120
480,481,497,Aparajito,"Ray, Satyajit",1956,India,108
481,482,461,Withnail & I,"Robinson, Bruce",1987,UK,105
482,483,460,Accattone,"Pasolini, Pier Paolo",1961,Italy,120
483,484,475,"Round-Up, The","Jancso, Miklos",1965,Hungary,94
484,485,521,Carrie,"De Palma, Brian",1976,USA,97
485,486,465,"Killing, The","Kubrick, Stanley",1956,USA,85
486,487,467,Alice in the Cities,"Wenders, Wim",1974,West Germany,110
487,488,473,Dead Ringers,"Cronenberg, David",1988,Canada,115
488,489,459,Xala,"Sembene, Ousmane",1974,Senegal,123
489,490,472,Koyaanisqatsi,"Reggio, Godfrey",1983,USA,87
490,491,470,"Silence, The","Bergman, Ingmar",1963,Sweden,96
491,492,476,Shadow of a Doubt,"Hitchcock, Alfred",1943,USA,108
492,493,466,Faust,"Murnau, F.W.",1926,Germany,116
493,494,489,"Awful Truth, The","McCarey, Leo",1937,USA,92
494,495,509,Ben-Hur,"Wyler, William",1959,USA,212
495,496,483,Winter Light,"Bergman, Ingmar",1962,Sweden,80
496,497,485,Limelight,"Chaplin, Charles",1952,USA,145
497,498,487,Love Me Tonight,"Mamoulian, Rouben",1932,USA,96
498,499,484,Terra em Transe,"Rocha, Glauber",1967,Brazil,106
499,500,486,Yeelen,"Cisse, Souleymane",1987,Mali,105
500,501,507,"Vitelloni, I","Fellini, Federico",1953,Italy,104
501,502,477,Quince Tree of the Sun,"Erice, Victor",1992,Spain,139
502,503,523,Hannah and Her Sisters,"Allen, Woody",1986,USA,106
503,504,559,Mon oncle,"Tati, Jacques",1958,France,126
504,505,519,Rebecca,"Hitchcock, Alfred",1940,USA,130
505,506,493,Suspiria,"Argento, Dario",1977,Italy,92
506,507,480,Point Blank,"Boorman, John",1967,USA,92
507,508,593,"Farewell, My Concubine",Chen Kaige,1993,China,155
508,509,517,Platform,Jia Zhangke,2000,China,154
509,510,499,Strike,"Eisenstein, Sergei",1924,USSR,73
510,511,514,"39 Steps, The","Hitchcock, Alfred",1935,UK,87
511,512,490,That Obscure Object of Desire,"Bunuel, Luis",1977,France,103
512,513,482,Young Mr. Lincoln,"Ford, John",1939,USA,100
513,514,522,Pat Garrett and Billy the Kid,"Peckinpah, Sam",1973,USA,122
514,515,492,Picnic at Hanging Rock,"Weir, Peter",1975,Australia,110
515,516,495,Laura,"Preminger, Otto",1944,USA,85
516,517,508,"African Queen, The","Huston, John",1951,USA,105
517,518,536,"Elephant Man, The","Lynch, David",1980,USA,125
518,519,513,"Wedding March, The","von Stroheim, Erich",1928,USA,113
519,520,549,Mad Max 2,"Miller, George",1981,Australia,94
520,521,603,Fight Club,"Fincher, David",1999,USA,139
521,522,496,"Testament of Dr. Mabuse, The","Lang, Fritz",1933,Germany,120
522,523,578,Scarface,"De Palma, Brian",1983,USA,170
523,524,532,Raising Arizona,Coen Brothers,1987,USA,92
524,525,511,All That Jazz,"Fosse, Bob",1979,USA,123
525,526,504,Edvard Munch,"Watkins, Peter",1974,Sweden,210
526,527,526,Teorema,"Pasolini, Pier Paolo",1968,Italy,98
527,528,525,Claire's Knee,"Rohmer, Eric",1970,France,105
528,529,537,Eternal Sunshine of the Spotless Mind,"Gondry, Michel",2004,USA,108
529,530,527,Cat People,"Tourneur, Jacques",1942,USA,73
530,531,503,Raise the Red Lantern,Zhang Yimou,1991,China,125
531,532,543,Punch-Drunk Love,"Anderson, Paul Thomas",2002,USA,95
532,533,531,"Marriage of Maria Braun, The","Fassbinder, Rainer Werner",1978,West Germany,120
533,534,534,"French Connection, The","Friedkin, William",1971,USA,104
534,535,560,Full Metal Jacket,"Kubrick, Stanley",1987,USA,116
535,536,528,Rebel Without a Cause,"Ray, Nicholas",1955,USA,111
536,537,530,"Silence of the Lambs, The","Demme, Jonathan",1991,USA,118
537,538,516,"Manchurian Candidate, The","Frankenheimer, John",1962,USA,126
538,539,583,"Tin Drum, The","Schlondorff, Volker",1979,West Germany,142
539,540,510,"Angel at My Table, An","Campion, Jane",1990,New Zealand,158
540,541,520,Some Came Running,"Minnelli, Vincente",1958,USA,136
541,542,512,All the President's Men,"Pakula, Alan J.",1976,USA,138
542,543,541,They Live by Night,"Ray, Nicholas",1948,USA,95
543,544,615,Young Frankenstein,"Brooks, Mel",1974,USA,105
544,545,590,"Phantom of Liberty, The","Bunuel, Luis",1974,France,104
545,546,545,Our Hospitality,Keaton & Blystone,1923,USA,74
546,547,539,Casino,"Scorsese, Martin",1995,USA,182
547,548,654,Forrest Gump,"Zemeckis, Robert",1994,USA,142
548,549,557,Detour,"Ulmer, Edgar G.",1945,USA,69
549,550,558,"Hard Day's Night, A","Lester, Richard",1964,UK,85
550,551,524,12 Angry Men,"Lumet, Sidney",1957,USA,95
551,552,568,Talk to Her,"Almodovar, Pedro",2002,Spain,112
552,553,548,"Short Film About Killing, A","Kieslowski, Krzysztof",1987,Poland,85
553,554,535,Heaven's Gate,"Cimino, Michael",1980,USA,219
554,555,561,Ferris Bueller's Day Off,"Hughes, John",1986,USA,103
555,556,592,Dead Man,"Jarmusch, Jim",1995,USA,121
556,557,626,Being There,"Ashby, Hal",1979,USA,130
557,558,551,Mother and Son,"Sokurov, Aleksandr",1997,Russia,73
558,559,572,"Grido, Il","Antonioni, Michelangelo",1957,Italy,111
559,560,571,City of God,"Meirelles, Fernando",2002,Brazil,129
560,561,544,Au revoir les enfants,"Malle, Louis",1987,France,103
561,562,533,Barren Lives,"dos Santos, Nelson Pereira",1963,Brazil,135
562,563,552,"Lusty Men, The","Ray, Nicholas",1952,USA,113
563,564,538,"Tiger of Eschnapur, The","Lang, Fritz",1958,West Germany,101
564,565,556,Masculin Feminin,"Godard, Jean-Luc",1966,France,103
565,566,607,"Shawshank Redemption, The","Darabont, Frank",1994,USA,142
566,567,609,Lancelot du Lac,"Bresson, Robert",1974,France,84
567,568,547,"Idiots, The","von Trier, Lars",1998,Denmark,117
568,569,540,Sicilia!,Straub & Huillet,1999,Italy,76
569,570,563,Shock Corridor,"Fuller, Samuel",1963,USA,101
570,571,553,They Were Expendable,"Ford, John",1945,USA,135
571,572,542,Foolish Wives,"von Stroheim, Erich",1922,USA,117
572,573,565,"Lady Vanishes, The","Hitchcock, Alfred",1938,UK,97
573,574,589,Bambi,"Hand, David",1942,USA,69
574,575,555,"Woman of Paris, A","Chaplin, Charles",1923,USA,81
575,576,579,Ninotchka,"Lubitsch, Ernst",1939,USA,110
576,577,546,Europa '51,"Rossellini, Roberto",1952,Italy,113
577,578,529,"Vampires, Les","Feuillade, Louis",1915,France,440
578,579,575,Splendor in the Grass,"Kazan, Elia",1961,USA,124
579,580,566,Local Hero,"Forsyth, Bill",1983,UK,111
580,581,574,Bande a part,"Godard, Jean-Luc",1964,France,97
581,582,550,Passion,"Godard, Jean-Luc",1982,France,87
582,583,577,Antonio das Mortes,"Rocha, Glauber",1969,Brazil,95
583,584,606,"Gleaners & I, The","Varda, Agnes",2000,France,82
584,585,554,"Million, Le","Clair, Rene",1931,France,85
585,586,594,White Heat,"Walsh, Raoul",1949,USA,114
586,587,562,Numero deux,"Godard, Jean-Luc",1975,France,88
587,588,650,Fellini's Roma,"Fellini, Federico",1972,Italy,128
588,589,570,"Death of Mr. Lazarescu, The","Puiu, Cristi",2005,Romania,154
589,590,596,Rocky,"Avildsen, John G.",1976,USA,119
590,591,612,Gimme Shelter,"Maysles Brothers, Zwerin",1970,USA,91
591,592,643,"Amants du Pont-Neuf, Les","Carax, Leos",1991,France,126
592,593,581,"Ghost and Mrs. Muir, The","Mankiewicz, Joseph L.",1947,USA,104
593,594,588,Breakfast at Tiffany's,"Edwards, Blake",1961,USA,115
594,595,564,Port of Shadows,"Carne, Marcel",1938,France,91
595,596,604,Possession,"Zulawski, Andrzej",1981,France,127
596,597,625,Dazed and Confused,"Linklater, Richard",1993,USA,94
597,598,728,Funny Games,"Haneke, Michael",1997,Austria,108
598,599,602,All Quiet on the Western Front,"Milestone, Lewis",1930,USA,133
599,600,585,"Chronicle of Anna Magdalena Bach, The","Straub, Jean-Marie",1968,West Germany,94
600,601,569,"Damned, The","Visconti, Luchino",1969,Italy,155
601,602,621,Hoop Dreams,"James, Steve",1994,USA,170
602,603,644,I Walked with a Zombie,"Tourneur, Jacques",1943,USA,69
603,604,595,Land Without Bread,"Bunuel, Luis",1932,Spain,28
604,605,584,She Wore a Yellow Ribbon,"Ford, John",1949,USA,103
605,606,639,"Red Balloon, The","Lamorisse, Albert",1956,France,34
606,607,573,"Jour se leve, Le","Carne, Marcel",1939,France,93
607,608,586,Flaming Creatures,"Smith, Jack",1963,USA,43
608,609,635,"Turin Horse, The","Tarr, Bela",2011,Hungary,146
609,610,620,"Place in the Sun, A","Stevens, George",1951,USA,122
610,611,582,Anatomy of a Murder,"Preminger, Otto",1959,USA,160
611,612,675,Spartacus,"Kubrick, Stanley",1960,USA,184
612,613,580,"Party, The","Edwards, Blake",1968,USA,99
613,614,611,"Purple Rose of Cairo, The","Allen, Woody",1985,USA,82
614,615,600,"Producers, The","Brooks, Mel",1968,USA,88
615,616,587,"Navigator, The",Keaton & Crisp,1924,USA,59
616,617,613,"Circus, The","Chaplin, Charles",1928,USA,72
617,618,601,Black Girl,"Sembene, Ousmane",1966,France,65
618,619,631,Lolita,"Kubrick, Stanley",1962,UK,152
619,620,634,"Hart of London, The","Chambers, Jack",1970,Canada,80
620,621,627,W.R.: Mysteries of the Organism,"Makavejev, Dusan",1971,Yugoslavia,84
621,622,591,"Faster, Pussycat! Kill! Kill!","Meyer, Russ",1965,USA,83
622,623,645,"Son, The",Dardenne Brothers,2002,Belgium,103
623,624,597,"Diaboliques, Les","Clouzot, Henri-Georges",1955,France,114
624,625,616,Grey Gardens,"Maysles Brothers, Hovde, Meyer",1975,USA,95
625,626,622,Olympia,"Riefenstahl, Leni",1938,Germany,220
626,627,697,Chronicle of a Summer,Rouch & Morin,1961,France,85
627,628,598,Salesman,"Maysles Brothers, Zwerin",1968,USA,85
628,629,629,Invasion of the Body Snatchers,"Siegel, Don",1956,USA,80
629,630,605,Uncle Boonmee Who Can Recall His Past Lives,"Weerasethakul, Apichatpong",2010,Thailand,113
630,631,614,Saturday Night and Sunday Morning,"Reisz, Karel",1960,UK,89
631,632,610,In Vanda's Room,"Costa, Pedro",2000,Portugal,170
632,633,670,Boogie Nights,"Anderson, Paul Thomas",1997,USA,155
633,634,618,My Friend Ivan Lapshin,"German, Aleksey",1986,USSR,100
634,635,647,WALL-E,"Stanton, Andrew",2008,USA,98
635,636,632,Loves of a Blonde,"Forman, Milos",1965,Czechoslovakia,88
636,637,599,Hatari!,"Hawks, Howard",1962,USA,159
637,638,917,Placido,"Garcia Berlanga, Luis",1961,Spain,85
638,639,623,Moonfleet,"Lang, Fritz",1955,USA,89
639,640,617,Yol,Goren & Guney,1982,Turkey,111
640,641,608,Secrets & Lies,"Leigh, Mike",1996,UK,142
641,642,702,Monty Python and the Holy Grail,Gilliam & Jones,1975,UK,90
642,643,628,Code Unknown,"Haneke, Michael",2000,France,118
643,644,640,"Bitter Tears of Petra von Kant, The","Fassbinder, Rainer Werner",1972,West Germany,124
644,645,630,"Belle noiseuse, La","Rivette, Jacques",1991,France,240
645,646,633,Songs from the Second Floor,"Andersson, Roy",2000,Sweden,98
646,647,657,Henry V,"Olivier, Laurence",1944,UK,137
647,648,624,Ossessione,"Visconti, Luchino",1942,Italy,140
648,649,637,"Virgin Spring, The","Bergman, Ingmar",1959,Sweden,88
649,650,718,Die Hard,"McTiernan, John",1988,USA,131
650,651,672,Miller's Crossing,Coen Brothers,1990,USA,115
651,652,653,A.I. Artificial Intelligence,"Spielberg, Steven",2001,USA,145
652,653,638,From the Clouds to the Resistance,Straub & Huillet,1979,Italy,104
653,654,673,Mr. Smith Goes to Washington,"Capra, Frank",1939,USA,129
654,655,663,Who's Afraid of Virginia Woolf?,"Nichols, Mike",1966,USA,129
655,656,636,After Life,"Koreeda, Hirokazu",1998,Japan,118
656,657,683,"Miracle of Morgan's Creek, The","Sturges, Preston",1944,USA,99
657,658,649,Time of the Gypsies,"Kusturica, Emir",1989,Yugoslavia,142
658,659,659,Othello,"Welles, Orson",1952,Italy,90
659,660,646,Subarnarekha,"Ghatak, Ritwik",1965,India,143
660,661,---,Titanic,"Cameron, James",1997,USA,194
661,662,753,Tie Xi Qu: West of the Tracks,Wang Bing,2003,China,551
662,663,648,Vive L'Amour,Tsai Ming-liang,1994,Taiwan,118
663,664,641,"Right Stuff, The","Kaufman, Philip",1983,USA,193
664,665,696,Orlando,"Potter, Sally",1992,UK,94
665,666,743,Dancer in the Dark,"von Trier, Lars",2000,Denmark,140
666,667,721,Black Orpheus,"Camus, Marcel",1959,Brazil,103
667,668,642,Dogville,"von Trier, Lars",2003,Denmark,177
668,669,689,Terminator 2: Judgment Day,"Cameron, James",1991,USA,136
669,670,699,"American in Paris, An","Minnelli, Vincente",1951,USA,115
670,671,658,Titicut Follies,"Wiseman, Frederick",1967,USA,84
671,672,722,Distant,"Ceylan, Nuri Bilge",2002,Turkey,110
672,673,660,Yellow Earth,Chen Kaige,1984,China,89
673,674,651,"Sun Shines Bright, The","Ford, John",1953,USA,90
674,675,687,Cairo Station,"Chahine, Youssef",1958,Egypt,76
675,676,652,"Last Bolshevik, The","Marker, Chris",1993,France,120
676,677,705,Gummo,"Korine, Harmony",1997,USA,88
677,678,655,Bigger Than Life,"Ray, Nicholas",1956,USA,95
678,679,664,Requiem for a Dream,"Aronofsky, Darren",2000,USA,100
679,680,676,Cool Hand Luke,"Rosenberg, Stuart",1967,USA,126
680,681,656,Melancholia,"von Trier, Lars",2011,Denmark,136
681,682,691,Outer Space,"Tscherkassky, Peter",1999,Austria,10
682,683,686,"Enfance nue, L'","Pialat, Maurice",1968,France,80
683,684,515,By the Bluest of Seas,"Barnet, Boris",1936,USSR,71
684,685,665,"Killer, The","Woo, John",1989,Hong Kong,110
685,686,682,Thelma & Louise,"Scott, Ridley",1991,USA,128
686,687,791,Floating Weeds,"Ozu, Yasujiro",1959,Japan,119
687,688,709,Ludwig,"Visconti, Luchino",1972,Italy,235
688,689,662,Spione,"Lang, Fritz",1928,Germany,90
689,690,732,Zelig,"Allen, Woody",1983,USA,79
690,691,716,My Own Private Idaho,"Van Sant, Gus",1991,USA,102
691,692,720,"Thief of Bagdad, The","Powell, Berger, Whelan",1940,UK,106
692,693,690,Scarface,"Hawks, Howard",1932,USA,90
693,694,681,Nazarin,"Bunuel, Luis",1958,Mexico,94
694,695,671,"White Ribbon, The","Haneke, Michael",2009,Germany,144
695,696,679,Veronika Voss,"Fassbinder, Rainer Werner",1982,West Germany,105
696,697,666,My Life as a Dog,"Hallstrom, Lasse",1985,Sweden,101
697,698,661,"End of Summer, The","Ozu, Yasujiro",1961,Japan,103
698,699,677,"Ascent, The","Shepitko, Larisa",1976,USSR,105
699,700,688,Bring Me the Head of Alfredo Garcia,"Peckinpah, Sam",1974,USA,112
700,701,667,It's a Gift,"McLeod, Norman Z.",1934,USA,73
701,702,668,"Hawks and the Sparrows, The","Pasolini, Pier Paolo",1966,Italy,88
702,703,701,"Lives of Others, The","von Donnersmarck, Florian Henckel",2006,Germany,138
703,704,692,Ceddo,"Sembene, Ousmane",1976,Senegal,117
704,705,704,Seventh Heaven,"Borzage, Frank",1927,USA,119
705,706,693,Angel,"Lubitsch, Ernst",1937,USA,91
706,707,669,Evil Dead II,"Raimi, Sam",1987,USA,85
707,708,---,Arrebato,"Zulueta, Ivan",1980,Spain,105
708,709,731,Gun Crazy,"Lewis, Joseph H.",1949,USA,86
709,710,703,Seven Women,"Ford, John",1966,USA,87
710,711,680,Anatahan,"von Sternberg, Josef",1953,Japan,92
711,712,714,Get Carter,"Hodges, Mike",1971,UK,112
712,713,694,Mothlight,"Brakhage, Stan",1963,USA,4
713,714,684,Forbidden Games,"Clement, Rene",1951,France,87
714,715,685,"Royal Tenenbaums, The","Anderson, Wes",2001,USA,109
715,716,792,Amelie,"Jeunet, Jean-Pierre",2001,France,122
716,717,713,"Seasons, The","Peleshian, Artavazd",1975,USSR,29
717,718,777,Edward Scissorhands,"Burton, Tim",1990,USA,100
718,719,695,"Holy Mountain, The","Jodorowsky, Alejandro",1973,Mexico,114
719,720,707,True Heart Susie,"Griffith, D.W.",1919,USA,87
720,721,733,"Cienaga, La","Martel, Lucrecia",2001,Argentina,103
721,722,700,Smiles of a Summer Night,"Bergman, Ingmar",1955,Sweden,108
722,723,706,"Golden Coach, The","Renoir, Jean",1952,Italy,100
723,724,818,War and Peace,"Bondarchuk, Sergei",1967,USSR,357
724,725,755,"Bete humaine, La","Renoir, Jean",1938,France,99
725,726,725,"Dames du Bois de Boulogne, Les","Bresson, Robert",1945,France,85
726,727,738,"Fly, The","Cronenberg, David",1986,USA,100
727,728,909,And Life Goes On,"Kiarostami, Abbas",1992,Iran,108
728,729,727,Not Reconciled,"Straub, Jean-Marie",1965,West Germany,53
729,730,750,"Wild Child, The","Truffaut, Francois",1970,France,85
730,731,698,On the Town,Donen & Kelly,1949,USA,98
731,732,715,Casque d'or,"Becker, Jacques",1952,France,96
732,733,793,Zabriskie Point,"Antonioni, Michelangelo",1970,USA,112
733,734,757,Seven Chances,"Keaton, Buster",1925,USA,56
734,735,708,Harakiri,"Kobayashi, Masaki",1962,Japan,135
735,736,710,Cul-de-sac,"Polanski, Roman",1966,UK,111
736,737,756,"River, The",Tsai Ming-liang,1997,Taiwan,115
737,738,735,"Outlaw Josey Wales, The","Eastwood, Clint",1976,USA,135
738,739,712,East of Eden,"Kazan, Elia",1955,USA,115
739,740,---,Blue,"Jarman, Derek",1993,UK,76
740,741,870,Brokeback Mountain,"Lee, Ang",2005,USA,134
741,742,781,Branded to Kill,"Suzuki, Seijun",1967,Japan,91
742,743,726,"Haine, La","Kassovitz, Mathieu",1995,France,93
743,744,749,L.A. Confidential,"Hanson, Curtis",1997,USA,137
744,745,751,Kaagaz Ke Phool,"Dutt, Guru",1959,India,148
745,746,674,Dumbo,"Sharpsteen, Ben",1941,USA,64
746,747,770,Inland Empire,"Lynch, David",2006,USA,180
747,748,767,"Adventures of Robin Hood, The",Curtiz & Keighley,1938,USA,102
748,749,719,Witness,"Weir, Peter",1985,USA,112
749,750,730,"Fallen Idol, The","Reed, Carol",1948,UK,94
750,751,723,Simon of the Desert,"Bunuel, Luis",1965,Mexico,43
751,752,724,"Misfits, The","Huston, John",1961,USA,124
752,753,780,"Sang des betes, Le","Franju, Georges",1949,France,20
753,754,678,Fat City,"Huston, John",1972,USA,100
754,755,734,Colossal Youth,"Costa, Pedro",2006,France,155
755,756,839,Fort Apache,"Ford, John",1948,USA,127
756,757,789,Van Gogh,"Pialat, Maurice",1991,France,155
757,758,805,"Trial, The","Welles, Orson",1962,France,118
758,759,717,"Woman Next Door, The","Truffaut, Francois",1981,France,106
759,760,748,"Now, Voyager","Rapper, Irving",1942,USA,117
760,761,742,Topsy-Turvy,"Leigh, Mike",1999,UK,160
761,762,729,Abraham's Valley,"de Oliveira, Manoel",1993,Portugal,189
762,763,811,"Man Who Would Be King, The","Huston, John",1975,USA,129
763,764,745,"Last Temptation of Christ, The","Scorsese, Martin",1988,USA,164
764,765,752,Odd Man Out,"Reed, Carol",1947,UK,115
765,766,787,"Ladies Man, The","Lewis, Jerry",1961,USA,95
766,767,741,"Tale of the Wind, A","Ivens, Joris",1988,France,80
767,768,810,Assault on Precinct 13,"Carpenter, John",1976,USA,90
768,769,773,"Posto, Il","Olmi, Ermanno",1961,Italy,93
769,770,736,Sauve qui peut (la vie),"Godard, Jean-Luc",1980,France,87
770,771,737,Z,"Costa-Gavras, Constantin",1969,France,127
771,772,739,Hitler: A Film from Germany,"Syberberg, Hans-Jurgen",1977,West Germany,442
772,773,740,American Graffiti,"Lucas, George",1973,USA,110
773,774,760,Shanghai Express,"von Sternberg, Josef",1932,USA,80
774,775,744,Vengeance is Mine,"Imamura, Shohei",1979,Japan,129
775,776,747,Reds,"Beatty, Warren",1981,USA,200
776,777,762,"Streetcar Named Desire, A","Kazan, Elia",1951,USA,122
777,778,769,"Age of Innocence, The","Scorsese, Martin",1993,USA,133
778,779,763,"Blood of a Poet, The","Cocteau, Jean",1930,France,58
779,780,824,"Chant d'amour, Un","Genet, Jean",1950,France,26
780,781,754,A nous la liberte,"Clair, Rene",1931,France,87
781,782,764,Princess Mononoke,"Miyazaki, Hayao",1997,Japan,134
782,783,---,"Piano Teacher, The","Haneke, Michael",2001,Austria,130
783,784,866,Ace in the Hole,"Wilder, Billy",1951,USA,112
784,785,746,Lone Star,"Sayles, John",1996,USA,135
785,786,783,Morocco,"von Sternberg, Josef",1930,USA,92
786,787,761,Heimat,"Reitz, Edgar",1984,West Germany,940
787,788,771,Zorns Lemma,"Frampton, Hollis",1970,USA,60
788,789,848,"Great Escape, The","Sturges, John",1963,USA,168
789,790,775,Elephant,"Van Sant, Gus",2003,USA,81
790,791,765,"Long Day Closes, The","Davies, Terence",1992,UK,83
791,792,766,"Firemen's Ball, The","Forman, Milos",1967,Czechoslovakia,73
792,793,772,Fires Were Started,"Jennings, Humphrey",1943,UK,80
793,794,826,Roman Holiday,"Wyler, William",1953,USA,119
794,795,803,Grave of the Fireflies,"Takahata, Isao",1988,Japan,93
795,796,814,"Death of Maria Malibran, The","Schroeter, Werner",1972,West Germany,104
796,797,784,Zodiac,"Fincher, David",2007,USA,158
797,798,785,Fellini's Casanova,"Fellini, Federico",1976,Italy,158
798,799,798,"Roue, La","Gance, Abel",1923,France,273
799,800,786,Night of the Demon,"Tourneur, Jacques",1957,UK,82
800,801,801,Juliet of the Spirits,"Fellini, Federico",1965,Italy,148
801,802,774,Touchez pas au Grisbi,"Becker, Jacques",1953,France,94
802,803,806,Exotica,"Egoyan, Atom",1994,Canada,104
803,804,858,"Princess Bride, The","Reiner, Rob",1987,USA,98
804,805,807,Vagabond,"Varda, Agnes",1985,France,106
805,806,778,"Nuit du carrefour, La","Renoir, Jean",1932,France,73
806,807,802,"Thing from Another World, The",Nyby & Hawks,1951,USA,87
807,808,779,Unsere Afrikareise,"Kubelka, Peter",1966,Austria,13
808,809,819,Blood Simple,Coen Brothers,1984,USA,97
809,810,782,India: Matri Bhumi,"Rossellini, Roberto",1959,Italy,90
810,811,883,Rushmore,"Anderson, Wes",1998,USA,93
811,812,933,"Lord of the Rings: The Fellowship of the Ring, The","Jackson, Peter",2001,USA,178
812,813,788,"America, America","Kazan, Elia",1963,USA,168
813,814,776,Big Deal on Madonna Street,"Monicelli, Mario",1958,Italy,91
814,815,859,No Country for Old Men,Coen Brothers,2007,USA,122
815,816,797,"Incredible Shrinking Man, The","Arnold, Jack",1957,USA,81
816,817,790,Starship Troopers,"Verhoeven, Paul",1997,USA,129
817,818,804,Dog Star Man,"Brakhage, Stan",1964,USA,75
818,819,915,Excalibur,"Boorman, John",1981,UK,140
